"median","date_column"
401433,"2021-05-05"
421562,"2021-05-05"
398390,"2021-05-05"
424315,"2021-05-05"
434395,"2021-05-05"
422733,"2021-05-05"
397962,"2021-05-05"
427069,"2021-05-05"
1097389,"2021-05-05"
1012751,"2021-05-05"
423580,"2021-05-05"
435296,"2021-05-05"
426427,"2021-05-05"
420659,"2021-05-05"
385864,"2021-05-05"
426669,"2021-05-05"
430095,"2021-05-05"
416890,"2021-05-05"
450379,"2021-05-05"
417275,"2021-05-05"
419790,"2021-05-05"
1098060,"2021-05-05"
395695,"2021-05-05"
1100435,"2021-05-05"
987655,"2021-05-06"
1000521,"2021-05-06"
960222,"2021-05-06"
392164,"2021-05-06"
380045,"2021-05-06"
1117908,"2021-05-06"
399421,"2021-05-06"
867338,"2021-05-06"
900467,"2021-05-06"
1106652,"2021-05-06"
410936,"2021-05-06"
409103,"2021-05-06"
394850,"2021-05-06"
421277,"2021-05-06"
389851,"2021-05-06"
403828,"2021-05-06"
924614,"2021-05-06"
430435,"2021-05-06"
415098,"2021-05-06"
427900,"2021-05-06"
399537,"2021-05-06"
399703,"2021-05-06"
940953,"2021-05-06"
405628,"2021-05-06"
403825,"2021-05-06"
420795,"2021-05-06"
400675,"2021-05-06"
418334,"2021-05-06"
433468,"2021-05-06"
398047,"2021-05-06"
394172,"2021-05-06"
408107,"2021-05-06"
397622,"2021-05-06"
390538,"2021-05-06"
362194,"2021-05-06"
391486,"2021-05-06"
394022,"2021-05-06"
872264,"2021-05-06"
390558,"2021-05-06"
365403,"2021-05-06"
366746,"2021-05-06"
376103,"2021-05-06"
390975,"2021-05-06"
431588,"2021-05-06"
388281,"2021-05-06"
390275,"2021-05-06"
367616,"2021-05-06"
397452,"2021-05-06"
398659,"2021-05-06"
397829,"2021-05-06"
377316,"2021-05-06"
937088,"2021-05-06"
391548,"2021-05-06"
400599,"2021-05-06"
382832,"2021-05-06"
383608,"2021-05-06"
1094132,"2021-05-07"
1099759,"2021-05-07"
1034847,"2021-05-07"
397430,"2021-05-07"
395357,"2021-05-07"
411665,"2021-05-07"
415488,"2021-05-07"
410190,"2021-05-07"
1113319,"2021-05-07"
1134821,"2021-05-07"
1148080,"2021-05-07"
752514,"2021-05-07"
1044626,"2021-05-07"
385209,"2021-05-07"
1106727,"2021-05-07"
409092,"2021-05-07"
400300,"2021-05-07"
984053,"2021-05-07"
961051,"2021-05-07"
425160,"2021-05-07"
387933,"2021-05-07"
1031140,"2021-05-07"
1117167,"2021-05-08"
1164557,"2021-05-09"
601001,"2021-05-10"
380891,"2021-05-10"
382666,"2021-05-10"
365495,"2021-05-10"
367371,"2021-05-10"
856891,"2021-05-10"
399452,"2021-05-10"
860527,"2021-05-10"
882950,"2021-05-11"
859665,"2021-05-11"
402714,"2021-05-11"
606282,"2021-05-11"
409690,"2021-05-11"
858002,"2021-05-11"
561698,"2021-05-12"
409211,"2021-05-12"
402527,"2021-05-12"
420804,"2021-05-12"
1174198,"2021-05-12"
370931,"2021-05-12"
396980,"2021-05-12"
385243,"2021-05-12"
398073,"2021-05-12"
371581,"2021-05-12"
405102,"2021-05-12"
375960,"2021-05-12"
409320,"2021-05-12"
398324,"2021-05-12"
378771,"2021-05-12"
372955,"2021-05-12"
398790,"2021-05-12"
409188,"2021-05-12"
426676,"2021-05-12"
406926,"2021-05-12"
